"INVENTORY_ID","PLOT_ID_time","TREE_ID_time","site","year","PLOT_ID","TREE_ID","plot","i_year","removed","thinned","dead","species","x","x_min","x_max","y","y_min","y_max","z","expan_plot","expan_subplot","age","dbh","i_dbh","i_annual_dbh","g","i_g","i_annual_g","bal_plot","height","hcb","slenderness","search_radius","rel_dbh_Do","rel_dbh_Dg","rel_h_Ho","rel_h_Hm","M","tmean","prec","SPEI3_aug","SPEI6_aug","SPEI12_aug","AGE","N","N_ha","G","G_local","G_ha","SD_0_5","SD_5_10","SD_10_15","SD_15_20","SD_20_25","SD_25_30","SD_30_35","SD_35_40","SD_40_45","SD_45_50","Hegyi","sp_1","sp_2","sp_3","G_ha_sp_1","G_ha_sp_2","G_ha_sp_3","G_sp_1","G_sp_2","G_sp_3","N_ha_sp_1","N_ha_sp_2","N_ha_sp_3","N_sp_1","N_sp_2","N_sp_3","weight_borders","DBHm","DBHm_sp_1","DBHm_sp_2","DBHm_sp_3","Dg","Dg_sp_1","Dg_sp_2","Dg_sp_3","Hm","Hm_sp_1","Hm_sp_2","Hm_sp_3","Ho","Do","mean_slenderness","dom_slenderness","SDI","S","S_staggered","SI_100","bal_subplot","bal_subplot_ha","t_grades","thinning"
"DEN","5_1_1985","5_1_100_1985",5,1985,"5_1","5_1_100",1,5,"no","no","no",10,39.0999984741211,0,50,20.2000007629395,0,50,NA,4,19.7197220171658,138,51.3,2.09999999999999,0.419999999999999,2066.92449263143,165.758282385031,33.1516564770062,37.8764578899653,38.5,NA,75.0487329434698,12.705,0.676781002638523,1.09926536684775,0.897435897435897,1.00200333311489,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,30.1820676221361,602.068720445441,5.16260037414324,4.91306415491744,99.6119832034367,0,0,0,0,1.20728270488545,1.20728270488545,0,4.82913081954178,7.24369622931267,6.03641352442723,3.41587264030008,10,NA,NA,99.6119832034367,NA,NA,5.16260037414324,NA,NA,602.068720445441,NA,NA,30.1820676221361,NA,NA,1.20728270488545,45.8,45.8,NA,NA,46.667530468196,46.667530468196,NA,NA,38.4230258798806,38.4230258798806,NA,NA,42.9,75.8,83.8930696067262,56.5963060686016,1701.04009418003,9.49991403732937,17.6813323283819,39.2214834464345,0.0287936925115179,0.509732995392236,"A","control"
"DEN","5_1_1985","5_1_101_1985",5,1985,"5_1","5_1_101",1,5,"no","no","no",10,39.2999992370605,0,50,25.1000003814697,0,50,NA,4,21.9862215239507,138,36.2,0.200000000000003,0.0400000000000006,1029.21716924255,11.3411494794593,2.26822989589186,75.0277450892952,36.4616085391282,NA,100.722675522454,12.0323308179123,0.477572559366755,0.766333674480406,0.849920944968023,0.950181615787826,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,28.2770432743145,566.315938539243,4.95570218220763,4.83443877206872,95.3898563387622,0,0,0,0,1.17821013642977,2.35642027285955,0,3.53463040928932,3.53463040928932,4.71284054571909,4.70014924685851,10,NA,NA,95.3898563387622,NA,NA,4.95570218220763,NA,NA,566.315938539243,NA,NA,28.2770432743145,NA,NA,1.17821013642977,46.2583333333333,46.2583333333333,NA,NA,47.2379085057753,47.2379085057753,NA,NA,38.3733045696708,38.3733045696708,NA,NA,42.9,75.8,82.9543604460547,56.5963060686016,1632.69953696151,9.79520017032559,18.2309217487654,39.2214834464345,0.116984484446112,2.22643016131171,"A","control"
"DEN","5_1_1985","5_1_102_1985",5,1985,"5_1","5_1_102",1,5,"no","no","no",10,39.0999984741211,0,50,36.0999984741211,0,50,NA,4,18.0871500457563,138,56.6,1.2,0.240000000000001,2516.07014033353,105.557513160617,21.1115026321234,26.0596304420482,40.2,NA,71.0247349823322,13.266,0.746701846965699,1.180134573608,0.937062937062937,1.04360692085927,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,33.4569247707133,664.914919236084,6.04429560509914,5.73251794064367,114.986846271832,0,0,0,0,0,2.47829072375654,1.23914536187827,6.19572680939135,3.71743608563481,6.19572680939135,3.24668127649056,10,NA,NA,114.986846271832,NA,NA,6.04429560509914,NA,NA,664.914919236084,NA,NA,33.4569247707133,NA,NA,1.23914536187827,46.8740740740741,46.8740740740741,NA,NA,47.9606320039908,47.9606320039908,NA,NA,38.5202504855955,38.5202504855955,NA,NA,42.9,75.8,82.17815764152,56.5963060686016,1966.01294255474,9.03981762799331,16.8249964200148,39.2214834464345,0.0379302395270938,0.658776539396077,"A","control"
"DEN","5_1_1985","5_1_106_1985",5,1985,"5_1","5_1_106",1,5,"no","no","no",10,37.7000007629395,0,50,40.9000015258789,0,50,NA,4,21.5673977123078,138,37.7,0.700000000000003,0.140000000000001,1116.27855565516,41.0684699640526,8.21369399281052,72.8699139008431,36.813935771938,NA,97.6496970077931,12.1485988047395,0.497361477572559,0.777970536832024,0.858133700977576,0.958028050756676,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,24.692095709444,494.245989034489,4.55411752435823,4.40904775101803,86.1381332121664,0,0,0,0,0,2.59916796941516,1.29958398470758,5.19833593883032,2.59916796941516,2.59916796941516,4.17003240203143,10,NA,NA,86.1381332121664,NA,NA,4.55411752435823,NA,NA,494.245989034489,NA,NA,24.692095709444,NA,NA,1.29958398470758,47.0368421052632,47.0368421052632,NA,NA,48.4594187249279,48.4594187249279,NA,NA,38.4267827469784,38.4267827469784,NA,NA,42.9,75.8,81.6950735361519,56.5963060686016,1486.75807053315,10.4850650943079,19.5149050495295,39.2214834464345,0.0950775643212066,1.76514649000595,"A","control"
"DEN","5_1_1985","5_1_11_1985",5,1985,"5_1","5_1_11",1,5,"no","no","no",10,48.7999992370605,0,50,31.2999992370605,0,50,NA,4,18.0871500457563,138,54.2,0.800000000000004,0.160000000000001,2307.21706072288,67.6070739052529,13.5214147810506,30.7986098626528,40.2,NA,74.169741697417,13.266,0.715039577836412,1.09327652216688,0.937062937062937,1.03586297784939,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,28.3672152827017,555.271819088249,5.47576895719965,5.03944013676332,102.772819442202,0,0,0,0,0,1.89114768551345,0,5.67344305654034,3.7822953710269,1.89114768551345,2.84628355194677,10,NA,NA,102.772819442202,NA,NA,5.47576895719965,NA,NA,555.271819088249,NA,NA,28.3672152827017,NA,NA,1.89114768551345,48.5066666666667,48.5066666666667,NA,NA,49.5757467585378,49.5757467585378,NA,NA,38.8082216080946,38.8082216080946,NA,NA,42.9,75.8,80.0059543872208,56.5963060686016,1734.84834023869,9.89213173655833,18.4113317218385,39.2214834464345,0.0564696698894316,0.992430352713633,"A","control"
"DEN","5_1_1985","5_1_119_1985",5,1985,"5_1","5_1_119",1,5,"no","no","no",10,37.7000007629395,0,50,5.90000009536743,0,50,NA,4,15.6622717120756,138,61.8,1.09999999999999,0.219999999999999,2999.62408157407,105.832402517806,21.1664805035612,15.05523142072,43.2,NA,69.9029126213592,14.256,0.815303430079156,1.39111328209204,1.00699300699301,1.14186861387683,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,39.2927128033447,811.567393771725,6.0905126710898,5.47017915764092,119.12349045338,0,0,0,0,0,6.20411254789653,2.06803751596551,6.20411254789653,10.3401875798275,4.13607503193102,3.128044329133,10,NA,NA,119.12349045338,NA,NA,6.0905126710898,NA,NA,811.567393771725,NA,NA,39.2927128033447,NA,NA,2.06803751596551,43.178947368421,43.178947368421,NA,NA,44.4248507979605,44.4248507979605,NA,NA,37.8327239009829,37.8327239009829,NA,NA,42.9,75.8,87.6184488199263,56.5963060686016,2112.52590345067,8.18239446851394,15.2291521029784,39.2214834464345,0,0,"A","control"
"DEN","5_1_1985","5_1_122_1985",5,1985,"5_1","5_1_122",1,5,"no","no","no",10,36.0999984741211,0,50,9.39999961853027,0,50,NA,4,20.0780403555498,138,44,0.5,0.1,1520.53084433746,34.3611696486385,6.87223392972769,58.4345187106764,38.1549125389346,NA,86.7157103157605,12.5911211378484,0.580474934036939,0.946819425746025,0.889391900674466,0.999409771789247,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,28.6364418903817,581.152576011329,4.85713271694051,4.65921183891141,93.1958076526815,0,0,0,0,0,3.90496934868842,1.30165644956281,3.90496934868842,6.50828224781403,2.60331289912561,3.79484787655162,10,NA,NA,93.1958076526815,NA,NA,4.85713271694051,NA,NA,581.152576011329,NA,NA,28.6364418903817,NA,NA,1.30165644956281,45.1409090909091,45.1409090909091,NA,NA,46.4713743756695,46.4713743756695,NA,NA,38.1774459445456,38.1774459445456,NA,NA,42.9,75.8,84.5739412727824,56.5963060686016,1630.47705931267,9.66935765031445,17.9967024275574,39.2214834464345,0.0724111482891789,1.31005248802597,"A","control"
"DEN","5_1_1985","5_1_13_1985",5,1985,"5_1","5_1_13",1,5,"no","no","no",10,48.4000015258789,0,50,36.2000007629395,0,50,NA,4,22.3051478586918,138,36,0,0,1017.87601976309,0,0,75.4394319569922,36.2,NA,100.555555555556,11.946,0.474934036939314,0.729558897076296,0.843822843822844,0.93421453756089,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,23.9536904372886,470.544931943831,4.58085557293522,4.39330259538949,86.0753370925486,0,0,0,0,0,1.84259157209913,0,5.52777471629738,1.84259157209913,1.84259157209913,4.47746668637369,10,NA,NA,86.0753370925486,NA,NA,4.58085557293522,NA,NA,470.544931943831,NA,NA,23.9536904372886,NA,NA,1.84259157209913,48.2230769230769,48.2230769230769,NA,NA,49.3448851686544,49.3448851686544,NA,NA,38.7491293964589,38.7491293964589,NA,NA,42.9,75.8,80.3539132483596,56.5963060686016,1458.76001645689,10.7458842378278,20.0003441741424,39.2214834464345,0.103682627762018,1.93775852611648,"A","control"
"DEN","5_1_1985","5_1_133_1985",5,1985,"5_1","5_1_133",1,5,"no","no","no",10,36.2000007629395,0,50,45.4000015258789,0,50,NA,4,19.2350852433843,138,48.4,1.5,0.3,1839.84232164833,112.272667457665,22.4545334915331,50.3157824974133,38.9819954204272,NA,80.5413128521223,12.864058488741,0.638522427440633,0.996330563369652,0.90867122192138,1.01366548895931,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,30.8275435461627,616.169076324883,5.71363665133464,5.41512181297313,107.913716456883,0,0,0,0,0,3.2450045838066,3.2450045838066,3.2450045838066,4.8675068757099,3.2450045838066,3.53322726170081,10,NA,NA,107.913716456883,NA,NA,5.71363665133464,NA,NA,616.169076324883,NA,NA,30.8275435461627,NA,NA,1.6225022919033,47.1526315789474,47.1526315789474,NA,NA,48.5782548277031,48.5782548277031,NA,NA,38.4564689683264,38.4564689683264,NA,NA,42.9,75.8,81.5574182830898,56.5963060686016,1861.08864890215,9.39058738737164,17.4778525050219,39.2214834464345,0.0845161443852429,1.50402728391893,"A","control"
"DEN","5_1_1985","5_1_137_1985",5,1985,"5_1","5_1_137",1,5,"no","no","no",10,34.4000015258789,0,50,42.5999984741211,0,50,NA,4,17.173087946789,138,62.9,1.1,0.22,3107.3571476473,107.733066073228,21.5466132146456,11.3775134144245,41.2559817949594,NA,65.5897961764061,13.6144739923366,0.829815303430079,1.35825357328195,0.961677897318401,1.08275649999601,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,36.6115448213306,744.408552826881,6.16662464225215,5.71156406030426,119.175118876123,0,0,0,0,0,2.92892358570645,5.8578471714129,4.39338537855967,4.39338537855967,7.32230896426612,3.03654026717064,10,NA,NA,119.175118876123,NA,NA,6.16662464225215,NA,NA,744.408552826881,NA,NA,36.6115448213306,NA,NA,1.46446179285322,45.076,45.076,NA,NA,46.3094677144966,46.3094677144966,NA,NA,38.1027329737677,38.1027329737677,NA,NA,42.9,75.8,84.5299782007448,56.5963060686016,2076.41285577737,8.54352374247108,15.9012894171955,39.2214834464345,0.00927004314876091,0.158771577348922,"A","control"
"DEN","5_1_1985","5_1_139_1985",5,1985,"5_1","5_1_139",1,5,"no","no","no",10,34.5,0,50,36.0999984741211,0,50,NA,4,18.2574644224171,138,54.5,1.4,0.28,2332.82889483127,118.312379334192,23.6624758668383,28.0060512944695,40.0120582389025,NA,73.4166206218394,13.2039792188378,0.718997361477573,1.22190205767603,0.932682010230828,1.05744623336757,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,31,639.166926460261,4.84363922366453,4.6103563341814,95.0073654023211,0,0,0,0,1,2,4,6,4,6,2.95109987975169,10,NA,NA,95.0073654023211,NA,NA,4.84363922366453,NA,NA,639.166926460261,NA,NA,31,NA,NA,1,43.4548387096774,43.4548387096774,NA,NA,44.6025928654667,44.6025928654667,NA,NA,37.8383855143909,37.8383855143909,NA,NA,42.9,75.8,87.0751949332727,56.5963060686016,1674.85547232236,9.22009849740565,17.1605369261713,39.2214834464345,0.024,0.421084665941214,"A","control"
