"INVENTORY_ID","PLOT_ID_time","TREE_ID_time","site","year","PLOT_ID","TREE_ID","plot","i_year","removed","thinned","dead","species","x","x_min","x_max","y","y_min","y_max","z","expan_plot","expan_subplot","age","dbh","i_dbh","i_annual_dbh","g","i_g","i_annual_g","bal_plot","height","hcb","slenderness","search_radius","rel_dbh_Do","rel_dbh_Dg","rel_h_Ho","rel_h_Hm","M","tmean","prec","SPEI3_aug","SPEI6_aug","SPEI12_aug","AGE","N","N_ha","G","G_local","G_ha","SD_0_5","SD_5_10","SD_10_15","SD_15_20","SD_20_25","SD_25_30","SD_30_35","SD_35_40","SD_40_45","SD_45_50","Hegyi","sp_1","sp_2","sp_3","G_ha_sp_1","G_ha_sp_2","G_ha_sp_3","G_sp_1","G_sp_2","G_sp_3","N_ha_sp_1","N_ha_sp_2","N_ha_sp_3","N_sp_1","N_sp_2","N_sp_3","weight_borders","DBHm","DBHm_sp_1","DBHm_sp_2","DBHm_sp_3","Dg","Dg_sp_1","Dg_sp_2","Dg_sp_3","Hm","Hm_sp_1","Hm_sp_2","Hm_sp_3","Ho","Do","mean_slenderness","dom_slenderness","SDI","S","S_staggered","SI_100","bal_subplot","bal_subplot_ha","t_grades","thinning","n_records"
"DEN","5_3_1985","5_3_265_1985",5,1985,"5_3","5_3_265",3,5,"no","no","no",10,3.70000004768372,0,60,29.7999992370605,0,40,NA,4.16666666666667,16.1174547950183,138,78.7,3.90000000000001,0.780000000000001,4864.51275065314,470.178610517883,94.0357221035765,2.4147099258578,42.5856120466527,NA,54.1113240745269,14.0532519753954,0.916181606519208,1.24679409903714,0.97449913150235,1.04274407283854,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,23.7143950421524,417.486908571918,7.42099125871398,6.26740148814821,126.714339782595,0,0,0,0,0,0,0,0,4.74287900843049,0,2.42994625275589,10,NA,NA,126.714339782595,NA,NA,7.42099125871398,NA,NA,417.486908571918,NA,NA,23.7143950421524,NA,NA,2.37143950421524,61.73,61.73,NA,NA,63.1218900224003,63.1218900224003,NA,NA,40.8399464028859,40.8399464028859,NA,NA,43.7,85.9,66.1589930388561,50.8731082654249,1949.71080065517,11.1994612709035,20.8445461560572,39.9496051236682,0.0203706653412089,0.311791727072713,"C","below",3
"DEN","5_3_1985","5_3_27_1985",5,1985,"5_3","5_3_27",3,5,"no","no","no",10,53.5999984741211,0,60,13.6999998092651,0,40,NA,4.16666666666667,19.9262098452809,138,54.9,2.7,0.539999999999999,2367.19791846154,227.11358690964,45.4227173819279,48.1667185777596,38.3,NA,69.7632058287796,12.639,0.639115250291036,1.03717531893991,0.876430205949657,0.976491238182882,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,20.927747458298,399.163833082879,4.60524467484993,4.25138667326871,86.4017678966801,0,0,0,0,0,0,0,0,4.48451731249243,5.97935641665658,2.3471732133275,10,NA,NA,86.4017678966801,NA,NA,4.60524467484993,NA,NA,399.163833082879,NA,NA,20.927747458298,NA,NA,1.49483910416414,52.4928571428571,52.4928571428571,NA,NA,52.9322275583195,52.9322275583195,NA,NA,39.2220621162675,39.2220621162675,NA,NA,43.7,85.9,74.7188555759621,50.8731082654249,1390.75097900231,11.4536252883058,21.3175986952642,39.9496051236682,0.045069398990549,0.786307943571722,"C","below",3
"DEN","5_3_1985","5_3_271_1985",5,1985,"5_3","5_3_271",3,5,"no","no","no",10,3,0,60,5.90000009536743,0,40,NA,4.16666666666667,17.4954432476908,138,63.9,2.5,0.5,3206.94563476609,246.025974684251,49.2051949368501,19.9656459816347,40.8741419519774,NA,63.9657933520773,13.4884668441525,0.743888242142026,1.12324028075599,0.935335056109323,1.01822694484658,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,16.7718512177372,306.011140715085,4.26311707999579,3.36667682916798,76.32736961454,0,0,0,0,0,0,0,2.79530853628954,0,0,1.42657714198183,10,NA,NA,76.32736961454,NA,NA,4.26311707999579,NA,NA,306.011140715085,NA,NA,16.7718512177372,NA,NA,2.79530853628954,56.3,56.3,NA,NA,56.8889854599875,56.8889854599875,NA,NA,40.142467412445,40.142467412445,NA,NA,43.7,85.9,71.3010078373801,50.8731082654249,1202.07611937257,13.0812710377387,24.3469887819025,39.9496051236682,0,0,"C","below",3
"DEN","5_3_1985","5_3_273_1985",5,1985,"5_3","5_3_273",3,5,"no","no","no",10,2.59999990463257,0,60,12.1999998092651,0,40,NA,4.16666666666667,21.4894262010001,138,39.3,1,0.2,1213.03960938572,60.9468974796421,12.1893794959284,71.4038915216411,36.8806625226927,NA,93.843924994129,12.1706186324886,0.457508731082654,0.71395531555877,0.843951087475805,0.927291133647095,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,12.3136764489173,228.96891030842,2.93035784008049,2.7169724505134,53.2199754068003,0,0,0,0,0,0,0,1.75909663555961,1.75909663555961,0,1.89984577816409,10,NA,NA,53.2199754068003,NA,NA,2.93035784008049,NA,NA,228.96891030842,NA,NA,12.3136764489173,NA,NA,1.75909663555961,54.3428571428571,54.3428571428571,NA,NA,55.0454617306718,55.0454617306718,NA,NA,39.7724740207951,39.7724740207951,NA,NA,43.7,85.9,73.188043676542,50.8731082654249,851.461372492625,15.1227336917573,28.1465789129128,39.9496051236682,0.0600027862389383,1.07974409201254,"C","below",3
"DEN","5_3_1985","5_3_28_1985",5,1985,"5_3","5_3_28",3,5,"no","no","no",10,53.5,0,60,21.5,0,40,NA,4.16666666666667,20.0306721032483,138,43.8,1.09999999999999,0.219999999999999,1506.7392525882,74.7306352472669,14.9461270494534,67.1859794074544,38.2,NA,87.2146118721461,12.606,0.509895227008149,0.863449282217144,0.874141876430206,0.994947937315084,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,22.3073335633405,445.002135682565,4.50829263091486,4.28421706357844,87.6690270613773,0,0,0,0,0,0,0,1.48715557088937,7.43577785444685,5.94862228355748,3.21017101279894,10,NA,NA,87.6690270613773,NA,NA,4.50829263091486,NA,NA,445.002135682565,NA,NA,22.3073335633405,NA,NA,1.48715557088937,50.06,50.06,NA,NA,50.7267779382842,50.7267779382842,NA,NA,38.3939687367809,38.3939687367809,NA,NA,43.7,85.9,76.695902390693,50.8731082654249,1444.45744254214,10.8476962380787,20.1898376584391,39.9496051236682,0.0865673257814702,1.67366332907388,"C","below",3
"DEN","5_3_1985","5_3_280_1985",5,1985,"5_3","5_3_280",3,5,"no","no","no",10,1.60000002384186,0,60,31.3999996185303,0,40,NA,4.16666666666667,16.7587773012634,138,71.2,2.10000000000001,0.420000000000002,3981.52886545356,231.401860881791,46.2803721763582,8.17271584363525,41.7628337003461,NA,58.6556653094749,13.7817351211142,0.828870779976717,1.07247143449243,0.955671251724167,1.01917708724799,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,18.6294285333441,326.191224324735,6.4487855436599,5.38916258005398,109.019773816436,0,0,0,0,0,0,0,0,2.66134693333488,0,2.65299156854275,10,NA,NA,109.019773816436,NA,NA,6.4487855436599,NA,NA,326.191224324735,NA,NA,18.6294285333441,NA,NA,2.66134693333488,64.9857142857143,64.9857142857143,NA,NA,66.388714617557,66.388714617557,NA,NA,40.9770139290662,40.9770139290662,NA,NA,43.7,85.9,63.0554182245468,50.8731082654249,1656.780396801,12.6701695510915,23.5818426997864,39.9496051236682,0.0438057705226921,0.687485000699178,"C","below",3
"DEN","5_3_1985","5_3_282_1985",5,1985,"5_3","5_3_282",3,5,"no","no","no",10,1.10000002384186,0,60,22.1000003814697,0,40,NA,4.16666666666667,20.5083396086304,138,43.7,1,0.2,1499.86701865847,67.8584013175396,13.5716802635079,67.8137874293662,37.7525136708955,NA,86.3901914665801,12.4583295113955,0.508731082654249,0.735405440621169,0.863901914665801,0.941139918366052,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,11.3617222532658,208.206952420941,3.15096258748677,2.86694471277292,55.0253291841623,0,0,0,0,0,0,0,1.8936203755443,1.8936203755443,0,1.7206700312798,10,NA,NA,55.0253291841623,NA,NA,3.15096258748677,NA,NA,208.206952420941,NA,NA,11.3617222532658,NA,NA,1.8936203755443,57.7333333333333,57.7333333333333,NA,NA,59.4230034021618,59.4230034021618,NA,NA,40.1136036567645,40.1136036567645,NA,NA,43.7,85.9,69.4808377426637,50.8731082654249,879.394013321237,15.8588229043365,29.5165953088305,39.9496051236682,0.0498779606918369,0.842066770727748,"C","below",3
"DEN","5_3_1985","5_3_29_1985",5,1985,"5_3","5_3_29",3,5,"no","no","no",10,53.4000015258789,0,60,28.2000007629395,0,40,NA,4.16666666666667,21.5837354973594,138,43.4,1.2,0.239999999999999,1479.3445646489,80.6760993441858,16.1352198688372,69.0579693849276,36.8,NA,84.7926267281106,12.144,0.505238649592549,0.842763500808386,0.842105263157895,0.954838261906326,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,23.0515367013581,456.898023393097,4.80128831308797,4.55770855933112,92.1984829502757,0,0,0,0,0,0,0,1.64653833581129,8.23269167905646,4.93961500743388,3.69253012006913,10,NA,NA,92.1984829502757,NA,NA,4.80128831308797,NA,NA,456.898023393097,NA,NA,23.0515367013581,NA,NA,1.64653833581129,50.6785714285714,50.6785714285714,NA,NA,51.4972468057413,51.4972468057413,NA,NA,38.5405586141145,38.5405586141145,NA,NA,43.7,85.9,76.0490233400427,50.8731082654249,1520.74255542893,10.7055485020257,19.9252709106766,39.9496051236682,0.103402607488949,1.98855058763098,"C","below",3
"DEN","5_3_1985","5_3_3_1985",5,1985,"5_3","5_3_3",3,5,"no","no","no",10,59.7000007629395,0,60,26.5,0,40,NA,4.16666666666667,18.0828650451818,138,58.9,1.9,0.38,2724.71116244006,172.952529561752,34.5905059123505,38.3827714918839,40.2047627082093,NA,68.2593594366881,13.2675716937091,0.685681024447031,1.12775293971367,0.920017453277101,1.03524096147675,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,19.7183118331767,384.248778018871,4.22437307304916,3.68710602948585,79.564858875735,0,0,0,0,0,0,0,1.97183118331767,7.8873247332707,1.97183118331767,1.90158948025408,10,NA,NA,79.564858875735,NA,NA,4.22437307304916,NA,NA,384.248778018871,NA,NA,19.7183118331767,NA,NA,1.97183118331767,51.2,51.2,NA,NA,52.2277512439508,52.2277512439508,NA,NA,38.836139801557,38.836139801557,NA,NA,43.7,85.9,75.8518355499159,50.8731082654249,1309.26671959982,11.6738018001867,21.7273933588972,39.9496051236682,0.0268760590286199,0.45821810961047,"C","below",3
"DEN","5_3_1985","5_3_31_1985",5,1985,"5_3","5_3_31",3,5,"no","no","no",10,53.0999984741211,0,60,36,0,40,NA,4.16666666666667,18.5859817769771,138,55.1,2.6,0.52,2384.47667805629,219.72299019207,43.9445980384141,47.1731866285695,39.6568642141687,NA,71.9725303342445,13.0867651906757,0.641443538998836,0.996138926404877,0.907479730301343,1.00404127382313,67.4713571059644,6.58333333333333,1118.90000534058,0.177904953166291,0.556415799795943,0.831464386293333,138,25.7853158511902,486.418925666228,6.19620405576302,5.58135921292824,113.253655444339,0,0,0,0,0,0,0,2.57853158511902,2.57853158511902,5.15706317023803,2.99204040491453,10,NA,NA,113.253655444339,NA,NA,6.19620405576302,NA,NA,486.418925666228,NA,NA,25.7853158511902,NA,NA,2.57853158511902,54.45,54.45,NA,NA,55.3135697636665,55.3135697636665,NA,NA,39.4972450317363,39.4972450317363,NA,NA,43.7,85.9,72.5385583686618,50.8731082654249,1823.51868417884,10.375602638717,19.3111724634052,39.9496051236682,0.0665519002119218,1.13630144640011,"C","below",3
