"","plot","lat","lon","year","month","air_temperature_mean","precipitation","spei3_har","spei6_har","spei12_har","deMartonne_year"
"1",5,47.871068562,10.842269375,1951,1,0,106.800003051758,NA,NA,NA,61.4791368443331
"2",5,47.871068562,10.842269375,1951,2,0,75.4000015258789,NA,NA,NA,61.4791368443331
"3",5,47.871068562,10.842269375,1951,3,1,74.9000015258789,1.36225691993724,NA,NA,61.4791368443331
"4",5,47.871068562,10.842269375,1951,4,6,45.7999992370605,-0.0888506210141516,NA,NA,61.4791368443331
"5",5,47.871068562,10.842269375,1951,5,10.5,85.5999984741211,-0.785503885657097,NA,NA,61.4791368443331
"6",5,47.871068562,10.842269375,1951,6,14,163.800003051758,-0.727850490561983,0.318572569656403,NA,61.4791368443331
"7",5,47.871068562,10.842269375,1951,7,16,180.899993896484,0.296859549989351,0.150593521648158,NA,61.4791368443331
"8",5,47.871068562,10.842269375,1951,8,16,131.800003051758,0.226586263346457,-0.259408154631126,NA,61.4791368443331
"9",5,47.871068562,10.842269375,1951,9,13.5,69.9000015258789,-0.194628124722791,-0.675613861053669,NA,61.4791368443331
"10",5,47.871068562,10.842269375,1951,10,6.5,11.6000003814697,-1.46315709345957,-0.90207141188439,NA,61.4791368443331
"11",5,47.871068562,10.842269375,1951,11,4.5,81.0999984741211,-1.12780809640972,-0.637882691160062,NA,61.4791368443331
"12",5,47.871068562,10.842269375,1951,12,0.5,40.5999984741211,-1.47722028995533,-0.936541115097224,-0.578291136399149,61.4791368443331
"13",5,47.871068562,10.842269375,1952,1,-2.5,62.5,-0.388273841045765,-1.49831519429467,-0.894017038499115,72.0119712620305
"14",5,47.871068562,10.842269375,1952,2,-3,87.1999969482422,-0.0020776039459648,-1.01117602098045,-0.833471194410356,72.0119712620305
"15",5,47.871068562,10.842269375,1952,3,2.5,95.9000015258789,1.23817408784897,-0.257784247612071,-0.639359687271087,72.0119712620305
"16",5,47.871068562,10.842269375,1952,4,9,47.4000015258789,0.353526529950237,-0.00147861830940455,-0.653718944667963,72.0119712620305
"17",5,47.871068562,10.842269375,1952,5,11,84.9000015258789,-0.694753366208103,-0.509415906170579,-0.7903519152216,72.0119712620305
"18",5,47.871068562,10.842269375,1952,6,15,109.099998474121,-1.81920321309418,-0.689244538285301,-1.14948160492425,72.0119712620305
"19",5,47.871068562,10.842269375,1952,7,18.5,70.9000015258789,-2.24292304317087,-1.65537516233293,-2.28130911312342,72.0119712620305
"20",5,47.871068562,10.842269375,1952,8,17,138.100006103516,-1.74380113697517,-1.83521221391808,-2.10003134115584,72.0119712620305
"21",5,47.871068562,10.842269375,1952,9,9,148.800003051758,-0.656023254532116,-1.59450650751992,-1.50629163669104,72.0119712620305
"22",5,47.871068562,10.842269375,1952,10,6,126.800003051758,1.33739458022253,-0.82086902042701,-0.654074193555856,72.0119712620305
"23",5,47.871068562,10.842269375,1952,11,0,160.100006103516,2.07461800372289,0.316754025069306,-0.0666518388429945,72.0119712620305
"24",5,47.871068562,10.842269375,1952,12,-2,71.5,1.84897102911052,0.851523996968433,0.229142225407509,72.0119712620305
"25",5,47.871068562,10.842269375,1953,1,-4,23.5,1.18265596761904,1.58200531849646,-0.0172749622980079,54.1481837533577
"26",5,47.871068562,10.842269375,1953,2,-2.5,42.0999984741211,-1.02957605177973,1.63895050160563,-0.382513861758954,54.1481837533577
"27",5,47.871068562,10.842269375,1953,3,3,20.5,-1.8221633694717,0.652843754760643,-1.04149301082251,54.1481837533577
"28",5,47.871068562,10.842269375,1953,4,8,101.900001525879,-0.782702522069223,0.058262706384874,-0.55212712695427,54.1481837533577
"29",5,47.871068562,10.842269375,1953,5,11.5,99.5999984741211,-1.0432769612463,-1.37371598674418,-0.560923493181719,54.1481837533577
"30",5,47.871068562,10.842269375,1953,6,13.5,187,0.515869955368671,-0.767219706840269,0.19307728351581,54.1481837533577
"31",5,47.871068562,10.842269375,1953,7,16,234,1.29323414242645,0.583187415980159,1.43317854476816,54.1481837533577
"32",5,47.871068562,10.842269375,1953,8,15,81.6999969482422,0.746835693850514,-0.00681729430039703,1.07703863172153,54.1481837533577
"33",5,47.871068562,10.842269375,1953,9,13,46.5,-0.451855984110387,-0.0989799616215544,0.320444914273207,54.1481837533577
"34",5,47.871068562,10.842269375,1953,10,9,36.7999992370605,-1.99334934797501,-0.552910772301482,-0.40606251173059,54.1481837533577
"35",5,47.871068562,10.842269375,1953,11,3,15.5,-2.07741141590683,-0.858142328772552,-1.41615568513478,54.1481837533577
"36",5,47.871068562,10.842269375,1953,12,1,42.7000007629395,-2.22786606767582,-1.46163246534633,-1.62692876022522,54.1481837533577
