"","PLOT_ID","SUBPLOT_ID","INVENTORY_ID","AGE","N","N_ha","G","G_local","G_ha","SD_0_5","SD_5_10","SD_10_15","SD_15_20","SD_20_25","SD_25_30","SD_30_35","SD_35_40","SD_40_45","SD_45_50","Hegyi","sp_1","sp_2","sp_3","G_ha_sp_1","G_ha_sp_2","G_ha_sp_3","G_sp_1","G_sp_2","G_sp_3","N_ha_sp_1","N_ha_sp_2","N_ha_sp_3","N_sp_1","N_sp_2","N_sp_3","weight_borders","DBHm","DBHm_sp_1","DBHm_sp_2","DBHm_sp_3","Dg","Dg_sp_1","Dg_sp_2","Dg_sp_3","Hm","Hm_sp_1","Hm_sp_2","Hm_sp_3","Ho","Do","mean_slenderness","dom_slenderness","SDI","S","S_staggered","SI_100"
"1","5_3_1991","5_3_229_1991","DEN",143,28.8217763247841,478.27635661521,9.30552333182196,8.18990260651208,149.075862555973,0,0,0,0,0,0,0,0,3.60272204059801,1.80136102029901,1.8193745853977,10,NA,NA,149.075862555973,NA,NA,9.30552333182196,NA,NA,478.27635661521,NA,NA,28.8217763247841,NA,NA,1.80136102029901,62.85,62.85,NA,NA,64.1158034340988,64.1158034340988,NA,NA,42.0984605231094,42.0984605231094,NA,NA,46,88.8,66.9824351998558,51.8018018018018,2292.4329680811,9.94037371273873,18.5011201567309,41.7695125776469
"2","5_3_1991","5_3_265_1991","DEN",143,24.3244340234571,401.760760184563,8.05972692171587,6.77828057036163,127.28008761891,0,0,0,0,0,0,0,0,4.86488680469142,0,2.46080067221958,10,NA,NA,127.28008761891,NA,NA,8.05972692171587,NA,NA,401.760760184563,NA,NA,24.3244340234571,NA,NA,2.43244340234571,63.42,63.42,NA,NA,64.9521978073106,64.9521978073106,NA,NA,42.2390823034301,42.2390823034301,NA,NA,46,88.8,66.6021480659573,51.8018018018018,1967.66658631499,10.845720537934,20.1861604661296,41.7695125776469
"3","5_3_1991","5_3_148_1991","DEN",143,26.843892960881,466.388532941064,6.95812748320213,6.23082459927438,117.566116250397,0,0,0,0,0,0,0,1.49132738671561,1.49132738671561,4.47398216014683,1.99364577563076,10,NA,NA,117.566116250397,NA,NA,6.95812748320213,NA,NA,466.388532941064,NA,NA,26.843892960881,NA,NA,1.49132738671561,56.5944444444444,56.5944444444444,NA,NA,57.4484744986516,57.4484744986516,NA,NA,41.1256227153969,41.1256227153969,NA,NA,46,88.8,72.6672434354712,51.8018018018018,1862.15194438139,10.066262151498,18.7354249423592,41.7695125776469
"4","5_3_1991","5_3_174_1991","DEN",143,17,294.257112067496,4.65019801221423,4.17113576307016,77.759274510876,0,0,0,0,0,0,0,0,2,3,1.30995141453429,10,NA,NA,77.759274510876,NA,NA,4.65019801221423,NA,NA,294.257112067496,NA,NA,17,NA,NA,1,57.8352941176471,57.8352941176471,NA,NA,59.0155313555379,59.0155313555379,NA,NA,41.2092704432743,41.2092704432743,NA,NA,46,88.8,71.2528069096483,51.8018018018018,1228.69121536202,12.6729780933008,23.5870699858403,41.7695125776469
"5","5_3_1991","5_3_15_1991","DEN",143,30.7270349845541,544.611789694409,7.11635245805316,6.02102994579641,121.549406521412,0,0,0,0,0,0,0,2.56058624871284,7.68175874613853,7.68175874613853,2.54705124694704,10,NA,NA,121.549406521412,NA,NA,7.11635245805316,NA,NA,544.611789694409,NA,NA,30.7270349845541,NA,NA,2.56058624871284,53.2583333333333,53.2583333333333,NA,NA,54.30295418606,54.30295418606,NA,NA,40.7468203214747,40.7468203214747,NA,NA,46,88.8,76.5078773052255,51.8018018018018,1979.98133464839,9.31533867396934,17.3377988683552,41.7695125776469
"6","5_3_1991","5_3_280_1991","DEN",143,18.9768195420631,305.631423172055,6.98199817514296,5.82862220806032,107.736365365348,0,0,0,0,0,0,0,0,2.71097422029473,0,2.69670764429308,10,NA,NA,107.736365365348,NA,NA,6.98199817514296,NA,NA,305.631423172055,NA,NA,18.9768195420631,NA,NA,2.71097422029473,66.9142857142857,66.9142857142857,NA,NA,68.443657746458,68.443657746458,NA,NA,42.7720347539178,42.7720347539178,NA,NA,46,88.8,63.9206326382204,51.8018018018018,1633.12825356837,12.4349248924616,23.1440030549889,41.7695125776469
"7","5_3_1991","5_3_172_1991","DEN",143,17.8462351163304,303.304712401218,5.37085268108625,4.76946118784954,87.282751298524,0,0,0,0,0,0,0,0,3.24477002115098,1.62238501057549,1.57763110864634,10,NA,NA,87.282751298524,NA,NA,5.37085268108625,NA,NA,303.304712401218,NA,NA,17.8462351163304,NA,NA,1.62238501057549,60.3272727272727,60.3272727272727,NA,NA,61.9018137493123,61.9018137493123,NA,NA,41.6280966274915,41.6280966274915,NA,NA,46,88.8,69.0037768086809,51.8018018018018,1371.20187425134,12.4825291623938,23.2326045848146,41.7695125776469
"8","5_3_1991","5_3_18_1991","DEN",143,28.3153761814829,485.905130823965,7.4674676033997,6.18961248194687,123.46039292208,0,0,0,0,0,0,0,3.53942202268536,3.53942202268536,3.53942202268536,2.0802037241299,10,NA,NA,123.46039292208,NA,NA,7.4674676033997,NA,NA,485.905130823965,NA,NA,28.3153761814829,NA,NA,3.53942202268536,56.8375,56.8375,NA,NA,57.9469477194442,57.9469477194442,NA,NA,41.4277377671962,41.4277377671962,NA,NA,46,88.8,72.8880365378424,51.8018018018018,1968.1680192089,9.86203241935915,18.3553105801561,41.7695125776469
"9","5_3_1991","5_3_104_1991","DEN",143,23.2834919043253,399.016764931862,6.33498295391189,5.84341624217173,106.176605649401,0,0,0,0,0,0,0,0,1.36961717084266,4.10885151252799,2.41562082113332,10,NA,NA,106.176605649401,NA,NA,6.33498295391189,NA,NA,399.016764931862,NA,NA,23.2834919043253,NA,NA,1.36961717084266,58.1588235294118,58.1588235294118,NA,NA,58.857759746298,58.857759746298,NA,NA,41.3860398882824,41.3860398882824,NA,NA,46,88.8,71.1603801052696,51.8018018018018,1658.71729134114,10.8829490685829,20.2554505691678,41.7695125776469
"10","5_3_1991","5_3_89_1991","DEN",143,21.8306847849034,365.781998068482,6.33726483719994,5.73455638792809,104.16032718345,0,0,0,0,0,0,0,0,0,3.35856688998514,2.20324808908774,10,NA,NA,104.16032718345,NA,NA,6.33726483719994,NA,NA,365.781998068482,NA,NA,21.8306847849034,NA,NA,1.67928344499257,60.1538461538462,60.1538461538462,NA,NA,60.7956223120357,60.7956223120357,NA,NA,41.8350687614969,41.8350687614969,NA,NA,46,88.8,69.5467895012097,51.8018018018018,1604.7732427328,11.3666111831637,21.1556471971527,41.7695125776469
"11","5_3_1991","5_3_85_1991","DEN",143,19,333.26579549552,4.54771062047433,4.19198101572489,78.1690860742433,0,0,0,0,0,0,0,0,2,5,1.67195074949825,10,NA,NA,78.1690860742433,NA,NA,4.54771062047433,NA,NA,333.26579549552,NA,NA,19,NA,NA,1,54.6368421052632,54.6368421052632,NA,NA,55.2045240327657,55.2045240327657,NA,NA,40.9011026983894,40.9011026983894,NA,NA,46,88.8,74.8599317280992,51.8018018018018,1245.27256046373,11.9082185637921,22.1636921174295,41.7695125776469
"12","5_3_1991","5_3_271_1991","DEN",143,17.0261405064562,288.803715724038,4.66317713230934,3.67758294245959,77.4203695683729,0,0,0,0,0,0,0,0,2.83769008440936,0,1.44337784659612,10,NA,NA,77.4203695683729,NA,NA,4.66317713230934,NA,NA,288.803715724038,NA,NA,17.0261405064562,NA,NA,2.83769008440936,58.4166666666667,58.4166666666667,NA,NA,59.0524484392194,59.0524484392194,NA,NA,41.6089758960234,41.6089758960234,NA,NA,46,88.8,71.2279187949046,51.8018018018018,1207.1756948722,12.7920686094012,23.8087224117524,41.7695125776469
"13","5_3_1991","5_3_160_1991","DEN",143,21.3862340570664,367.807084901384,5.77493109354384,5.16150968377196,95.8718620694776,0,0,0,0,0,0,0,1.7821861714222,1.7821861714222,1.7821861714222,1.99664912874707,10,NA,NA,95.8718620694776,NA,NA,5.77493109354384,NA,NA,367.807084901384,NA,NA,21.3862340570664,NA,NA,1.7821861714222,57.5416666666667,57.5416666666667,NA,NA,58.6355907278165,58.6355907278165,NA,NA,41.361370355518,41.361370355518,NA,NA,46,88.8,71.8807305237097,51.8018018018018,1519.38672429133,11.3352766235774,21.0973270103352,41.7695125776469
"14","5_3_1991","5_3_192_1991","DEN",143,20.1325645701195,343.168823559881,5.50204488130624,4.92980441601509,91.3517404807114,0,0,0,0,0,0,0,1.67771371417663,0,1.67771371417663,1.81328720907984,10,NA,NA,91.3517404807114,NA,NA,5.50204488130624,NA,NA,343.168823559881,NA,NA,20.1325645701195,NA,NA,1.67771371417663,58.1666666666667,58.1666666666667,NA,NA,58.9885299585154,58.9885299585154,NA,NA,41.512330323703,41.512330323703,NA,NA,46,88.8,71.3679031353061,51.8018018018018,1431.83473397126,11.7351394673366,21.8415556210885,41.7695125776469
"15","5_3_1991","5_3_204_1991","DEN",143,14.6090761298149,240.816020219831,4.73236982724631,4.12826536980169,75.2777700108799,0,0,0,0,0,0,0,0,1.82613451622686,0,1.52776497503226,10,NA,NA,75.2777700108799,NA,NA,4.73236982724631,NA,NA,240.816020219831,NA,NA,14.6090761298149,NA,NA,1.82613451622686,63.025,63.025,NA,NA,64.2218810063984,64.2218810063984,NA,NA,42.2434531418976,42.2434531418976,NA,NA,46,88.8,67.0265024068188,51.8018018018018,1157.43803105211,14.0087530947584,26.0732273998875,41.7695125776469
"16","5_3_1991","5_3_2_1991","DEN",143,23.4490548275187,408.939251748999,5.45504072059608,4.60635978060422,93.5637559264434,0,0,0,0,0,0,0,0,5.21090107278193,2.60545053639097,2.03946516826461,10,NA,NA,93.5637559264434,NA,NA,5.45504072059608,NA,NA,408.939251748999,NA,NA,23.4490548275187,NA,NA,2.60545053639097,54,54,NA,NA,54.424116386437,54.424116386437,NA,NA,41.010726324174,41.010726324174,NA,NA,46,88.8,75.9457894892112,51.8018018018018,1492.25654042068,10.750106562841,20.0082028064904,41.7695125776469
"17","5_3_1991","5_3_66_1991","DEN",143,24.8506763529981,433.06914753592,6.15476414060473,5.42572395382525,103.569302653392,0,0,0,0,0,0,0,2.2591523957271,4.5183047914542,2.2591523957271,2.27437405778593,10,NA,NA,103.569302653392,NA,NA,6.15476414060473,NA,NA,433.06914753592,NA,NA,24.8506763529981,NA,NA,2.2591523957271,55.1454545454545,55.1454545454545,NA,NA,56.155417450954,56.155417450954,NA,NA,41.0947509527005,41.0947509527005,NA,NA,46,88.8,74.5206496010066,51.8018018018018,1664.84111618991,10.4463253019396,19.4428021714923,41.7695125776469
"18","5_3_1991","5_3_249_1991","DEN",143,18.8190354398545,300.237625225293,7.16800252832388,6.31391293000574,109.938086657924,0,0,0,0,0,0,0,0,2.68843363426493,0,2.53606423429287,10,NA,NA,109.938086657924,NA,NA,7.16800252832388,NA,NA,300.237625225293,NA,NA,18.8190354398545,NA,NA,2.68843363426493,68.2428571428571,68.2428571428571,NA,NA,69.6394695146776,69.6394695146776,NA,NA,42.9728416818905,42.9728416818905,NA,NA,46,88.8,62.9704609112902,51.8018018018018,1651.21801287753,12.5461249990403,23.3509697740185,41.7695125776469
"19","5_3_1991","5_3_243_1991","DEN",143,20.6823910801091,348.415969132623,6.09756278706778,5.66364566420506,98.9932243317502,0,0,0,0,0,0,0,0,2.75765214401455,1.37882607200728,1.96804143765333,10,NA,NA,98.9932243317502,NA,NA,6.09756278706778,NA,NA,348.415969132623,NA,NA,20.6823910801091,NA,NA,1.37882607200728,60.0466666666667,60.0466666666667,NA,NA,61.2678763028936,61.2678763028936,NA,NA,41.785066231267,41.785066231267,NA,NA,46,88.8,69.5876533217503,51.8018018018018,1548.39336446987,11.6464386233408,21.6764647482306,41.7695125776469
"20","5_3_1991","5_3_242_1991","DEN",143,27.6926623997762,479.626584174587,7.02229884904241,6.40177180546931,118.794779144895,0,0,0,0,0,0,0,1.97804731426973,3.95609462853946,0,2.70497964053937,10,NA,NA,118.794779144895,NA,NA,7.02229884904241,NA,NA,479.626584174587,NA,NA,27.6926623997762,NA,NA,1.97804731426973,56.15,56.15,NA,NA,56.8214559576122,56.8214559576122,NA,NA,41.1820427450293,41.1820427450293,NA,NA,46,88.8,73.3429078273005,51.8018018018018,1880.35407366071,9.92637195968834,18.4750599578816,41.7695125776469
