"","PLOT_ID_time","AGE","INVENTORY_ID","site","plot","Nr","Artcode","x","y","z","year","dbh","height","hcb","removed","reason","observation","PLOT_ID","TREE_ID","TREE_ID_time","thinned","dead"
"35","5_1_1980",132,"DEN",5,1,142,10,34.4000015258789,26.8999996185303,NA,1980,43,36.7,27.1,0,NA,NA,"5_1","5_1_142","5_1_142_1980",0,0
"36","5_1_1980",132,"DEN",5,1,147,10,34.5,10.8000001907349,NA,1980,48.8,39.7,26.5,0,NA,NA,"5_1","5_1_147","5_1_147_1980",0,0
"37","5_1_1980",132,"DEN",5,1,156,10,33,15.8000001907349,NA,1980,57.7,39.2,30.7,0,NA,NA,"5_1","5_1_156","5_1_156_1980",0,0
"38","5_1_1980",132,"DEN",5,1,158,10,32.9000015258789,22.2999992370605,NA,1980,47.1,37.2,26.3,0,NA,NA,"5_1","5_1_158","5_1_158_1980",0,0
"39","5_1_1980",132,"DEN",5,1,159,10,32.7000007629395,27,NA,1980,46.2,39.1,29.3,0,NA,NA,"5_1","5_1_159","5_1_159_1980",0,0
"40","5_1_1980",132,"DEN",5,1,161,10,32.5999984741211,33.2999992370605,NA,1980,52.9,40,25.8,0,NA,NA,"5_1","5_1_161","5_1_161_1980",0,0
"41","5_1_1980",132,"DEN",5,1,164,10,32.7999992370605,47.2999992370605,NA,1980,39.7,37.1,25.6,0,NA,NA,"5_1","5_1_164","5_1_164_1980",0,0
"42","5_1_1980",132,"DEN",5,1,168,10,31.2000007629395,38,NA,1980,32.9,35,25,0,NA,NA,"5_1","5_1_168","5_1_168_1980",0,0
"43","5_1_1980",132,"DEN",5,1,171,10,31.2999992370605,25.2999992370605,NA,1980,24.7,34,25.3,0,NA,NA,"5_1","5_1_171","5_1_171_1980",0,0
"44","5_1_1980",132,"DEN",5,1,173,10,31.1000003814697,19,NA,1980,56.5,38.8,25.6,0,NA,NA,"5_1","5_1_173","5_1_173_1980",0,0
"45","5_1_1980",132,"DEN",5,1,182,10,29.5,12.8999996185303,NA,1980,35,37.7,25.1,0,NA,NA,"5_1","5_1_182","5_1_182_1980",0,0
"46","5_1_1980",132,"DEN",5,1,185,10,29.3999996185303,21,NA,1980,27.9,34.3,25.3,0,NA,NA,"5_1","5_1_185","5_1_185_1980",0,0
"47","5_1_1980",132,"DEN",5,1,189,10,29.6000003814697,30.2999992370605,NA,1980,44.5,39.1,28.5,0,NA,NA,"5_1","5_1_189","5_1_189_1980",0,0
"48","5_1_1980",132,"DEN",5,1,190,10,29.6000003814697,35,NA,1980,38.6,35.5,27,0,NA,NA,"5_1","5_1_190","5_1_190_1980",0,0
"49","5_1_1980",132,"DEN",5,1,197,10,27.8999996185303,44.5,NA,1980,49.3,35.4,26.3,0,NA,NA,"5_1","5_1_197","5_1_197_1980",0,0
"50","5_1_1980",132,"DEN",5,1,199,10,27.7999992370605,36.7999992370605,NA,1980,27,31.8,24,0,NA,NA,"5_1","5_1_199","5_1_199_1980",0,0
"51","5_1_1980",132,"DEN",5,1,202,10,28.2000007629395,17.3999996185303,NA,1980,60.7,42,28.7,0,NA,NA,"5_1","5_1_202","5_1_202_1980",0,0
"52","5_1_1980",132,"DEN",5,1,203,10,28.7000007629395,9.60000038146973,NA,1980,51,39,25.3,0,NA,NA,"5_1","5_1_203","5_1_203_1980",0,0
"53","5_1_1980",132,"DEN",5,1,204,10,26.6000003814697,1.60000002384186,NA,1980,59.1,41.5,28,0,NA,NA,"5_1","5_1_204","5_1_204_1980",0,0
"54","5_1_1980",132,"DEN",5,1,207,10,26.7000007629395,9.69999980926514,NA,1980,29.4,34,28.7,0,NA,NA,"5_1","5_1_207","5_1_207_1980",0,0
"55","5_1_1980",132,"DEN",5,1,212,10,26.6000003814697,25.3999996185303,NA,1980,29.9,35.2,26,0,NA,NA,"5_1","5_1_212","5_1_212_1980",0,0
"56","5_1_1980",132,"DEN",5,1,213,10,26.5,28.6000003814697,NA,1980,37.8,35.6,27.3,0,NA,NA,"5_1","5_1_213","5_1_213_1980",0,0
"57","5_1_1980",132,"DEN",5,1,215,10,26.3999996185303,35.0999984741211,NA,1980,45.7,37.3,26.6,0,NA,NA,"5_1","5_1_215","5_1_215_1980",0,0
"58","5_1_1980",132,"DEN",5,1,220,10,24.7999992370605,44.4000015258789,NA,1980,43.3,36.8,25.9,0,NA,NA,"5_1","5_1_220","5_1_220_1980",0,0
"59","5_1_1980",132,"DEN",5,1,221,10,24.7999992370605,40.9000015258789,NA,1980,33.2,34.1,26.1,0,NA,NA,"5_1","5_1_221","5_1_221_1980",0,0
"60","5_1_1980",132,"DEN",5,1,222,10,24.8999996185303,37.5,NA,1980,30.8,34.3,27,0,NA,NA,"5_1","5_1_222","5_1_222_1980",0,0
"61","5_1_1980",132,"DEN",5,1,225,10,25,26.7000007629395,NA,1980,45.6,36,26.7,0,NA,NA,"5_1","5_1_225","5_1_225_1980",0,0
"62","5_1_1980",132,"DEN",5,1,227,10,24.8999996185303,18.8999996185303,NA,1980,38.7,35.5,28.3,0,NA,NA,"5_1","5_1_227","5_1_227_1980",0,0
"63","5_1_1980",132,"DEN",5,1,231,10,25.2000007629395,12.3999996185303,NA,1980,36.5,36.5,23.3,0,NA,NA,"5_1","5_1_231","5_1_231_1980",0,0
