"INVENTORY_ID","PLOT_ID_time","TREE_ID_time","site","year","PLOT_ID","TREE_ID","plot","i_year","removed","thinned","dead","species","x","x_min","x_max","y","y_min","y_max","z","expan_plot","expan_subplot","age","dbh","i_dbh","i_annual_dbh","g","i_g","i_annual_g","bal_plot","height","hcb","slenderness","search_radius","rel_dbh_Do","rel_dbh_Dg","rel_h_Ho","rel_h_Hm","M","tmean","prec","SPEI3_aug","SPEI6_aug","SPEI12_aug","AGE","N","N_ha","G","G_local","G_ha","SD_0_5","SD_5_10","SD_10_15","SD_15_20","SD_20_25","SD_25_30","SD_30_35","SD_35_40","SD_40_45","SD_45_50","Hegyi","sp_1","sp_2","sp_3","G_ha_sp_1","G_ha_sp_2","G_ha_sp_3","G_sp_1","G_sp_2","G_sp_3","N_ha_sp_1","N_ha_sp_2","N_ha_sp_3","N_sp_1","N_sp_2","N_sp_3","weight_borders","DBHm","DBHm_sp_1","DBHm_sp_2","DBHm_sp_3","Dg","Dg_sp_1","Dg_sp_2","Dg_sp_3","Hm","Hm_sp_1","Hm_sp_2","Hm_sp_3","Ho","Do","mean_slenderness","dom_slenderness","SDI","S","S_staggered","SI_100","bal_subplot","bal_subplot_ha"
"EUR","605_5_1997","605_5_39_1997",605,1997,"605_5","605_5_39",5,5,"no","no","no",10,9.38000011444092,0,20,3,0,20,NA,25,111.376154396982,45,14.2,0,0,158.367685667461,0,0,33.2684844538117,16.2,10,114.084507042254,5.346,0.44794952681388,0.65345251469278,0.698275862068966,0.835993107202306,55.0297121525869,8.79166666666667,1034.10000753403,0.249952102871499,-0.151840345496305,0.129314510020836,45,18.8504389077722,1544.81547298267,0.69913326992255,0.676169420817629,50.0649301143611,0,0,4.35010128640898,2.90006752427265,7.25016881068163,2.90006752427265,1.45003376213633,0,0,0,7.30031524344723,10,NA,NA,50.0649301143611,NA,NA,0.69913326992255,NA,NA,1544.81547298267,NA,NA,18.8504389077722,NA,NA,1.45003376213633,20.8923076923077,20.8923076923077,NA,NA,21.7307297480921,21.7307297480921,NA,NA,19.3781502029534,19.3781502029534,NA,NA,23.2,31.7,92.7525598815884,73.186119873817,1223.47778854424,10.9666430947476,20.4112227040212,38.8886679543917,0.0339887913844755,2.36817558269299
"EUR","605_8_1992","605_8_82_1992",605,1992,"605_8","605_8_82",8,10,"no","no","no",10,10.4499998092651,0,30,12.5,0,30,NA,11.1111111111111,57.7373984393956,39,27.9,4.9,0.49,611.361784370208,195.886155932958,19.5886155932958,13.302908285347,22.5,14.8,80.6451612903226,7.425,0.835329341317365,1.25270101643469,0.982532751091703,1.09820382663022,57.3350644792829,9.25,1103.6999912262,-1.16283240179148,-1.25076031480139,-1.54917887159904,39,25,1818.33409266275,0.973965193845705,0.912829015408684,65.3745300468687,0,1,0,8,10,5,1,0,0,0,4.80428130580445,10,NA,NA,65.3745300468687,NA,NA,0.973965193845705,NA,NA,1818.33409266275,NA,NA,25,NA,NA,1,21.748,21.748,NA,NA,22.2718746404518,22.2718746404518,NA,NA,20.488,20.488,NA,NA,22.9,33.4,94.2063638035682,68.562874251497,1500.26776547215,10.2406536216987,19.0600040414687,43.0792546599922,0.00604,0.355049040675997
"FFB","612_18_2012","612_18_38_2012",612,2012,"612_18","612_18_38",18,6,"yes","yes","no",10,0.800000011920929,0,30,3.75,0,30,NA,11.1111111111111,53.3814704506247,43,30,4.2,0.7,706.858347057703,184.065913573826,30.6776522623043,17.9330835313165,23.4,12.8,78,7.722,0.785340314136126,1.07025910201901,0.921259842519685,0.991305155705703,47.2317875742123,8.875,891.499990463257,-0.0904552654461533,-1.10406176201435,-0.862080290421842,43,20.1607928598789,1060.75346508667,1.24411961809027,1.04053640785732,64.5435377660931,0,0,0,0,2.88011326569699,11.520453062788,5.76022653139398,0,0,0,2.93039284209261,10,NA,NA,64.5435377660931,NA,NA,1.24411961809027,NA,NA,1060.75346508667,NA,NA,20.1607928598789,NA,NA,2.88011326569699,27.8,27.8,NA,NA,28.0305955290694,28.0305955290694,NA,NA,23.6052439204169,23.6052439204169,NA,NA,25.4,38.2,84.9109493540177,66.4921465968586,1283.22399845634,12.0881281047518,22.4985415034613,43.5782167488336,0.0179431056452922,0.869961871457513
"SAC","67_1_1985","67_1_355_1985",67,1985,"67_1","67_1_355",1,7,"no","no","no",10,42.5,0,50,46.7000007629395,0,50,NA,4,15.9442371139223,126,87.2,2.40000000000001,0.342857142857144,5972.04197076805,324.212361850467,46.3160516929238,0,42.8163115236609,NA,49.1012746830974,14.1293828028081,1,1.67612012835527,1,1.08777218467979,70.1893669031843,6.45833333333333,1155.19999694824,0.189477990422513,0.536826740752421,0.829224664217286,126,39.8329200885802,759.500207093853,8.46749040578499,6.88159793520331,150.34460673022,0,0,0,0,0,7.96658401771603,0,2.65552800590534,10.6221120236214,5.31105601181069,2.23649334988813,10,NA,NA,150.34460673022,NA,NA,8.46749040578499,NA,NA,759.500207093853,NA,NA,39.8329200885802,NA,NA,2.65552800590534,49.3,49.3,NA,NA,52.0249106999073,52.0249106999073,NA,NA,39.3614693652649,39.3614693652649,NA,NA,42.8163115236609,87.2,79.8407086516529,49.1012746830974,2571.17358461512,8.47474813527331,15.7732835887036,39.9098842060297,0,0
"FFB","612_4_2017","612_4_7_2017",612,2017,"612_4","612_4_7",4,5,"no","no","no",10,16.2999992370605,0,35,2,0,30,NA,9.52380952380952,45.6647627051572,48,37.4,2.3,0.459999999999999,1098.58353503381,130.965143746525,26.1930287493049,24.0928815403626,25.3,8.7,67.6470588235294,8.349,0.722007722007722,1.05618116705369,0.92,0.99475753604194,50.6373626373626,8.95833333333333,960,-0.633485152864798,-0.483034752643111,-1.15626751139509,48,5.19967828860787,235.083829337624,0.512073995017525,0.321664629839611,23.1978946517556,0,0,0,0,0,0,1.73322609620262,3.46645219240525,0,0,0.543714798078924,10,NA,NA,23.1978946517556,NA,NA,0.512073995017525,NA,NA,235.083829337624,NA,NA,5.19967828860787,NA,NA,1.73322609620262,35.3666666666667,35.3666666666667,NA,NA,35.4105916358369,35.4105916358369,NA,NA,25.4333333333333,25.4333333333333,NA,NA,27.5,51.8,71.9132893496701,53.0888030888031,419.573642809696,23.7167910816817,44.1419220458446,42.9739159836828,0,0
"SAC","602_1_1989","602_1_23_1989",602,1989,"602_1","602_1_23",1,6,"no","no","no",10,2.09999990463257,0,30,27.2999992370605,0,30,NA,11.1111111111111,200.32173184439,27,14.5,4.3,0.716666666666667,165.129963854314,83.417138934443,13.9028564890738,17.6610128808694,12.0794480586432,NA,83.3065383354703,3.98621785935226,0.728643216080402,1.14024108721203,0.917182218832348,1.07281177947861,63.330841527921,7.83333333333333,1129.40000724793,0.558768701325286,-0.0549399179128835,-0.0112615079059788,27,30.6510824717162,7240.37030741491,0.389294555599374,0.353141611737587,83.9763416890279,0,8.75745213477606,15.3255412358581,6.56808910108204,0,0,0,0,0,0,10.6941540489069,10,NA,NA,83.9763416890279,NA,NA,0.389294555599374,NA,NA,7240.37030741491,NA,NA,30.6510824717162,NA,NA,2.18936303369401,12.2357142857143,12.2357142857143,NA,NA,12.7166089370218,12.7166089370218,NA,NA,11.2596154234192,11.2596154234192,NA,NA,13.1701725247371,19.9,92.0225428650724,66.181771481091,2351.05329507722,8.92335449827438,16.6082341111694,38.1267594605286,0.0142965406100219,2.82802050456468
"FFB","612_17_2001","612_17_182_2001",612,2001,"612_17","612_17_182",17,5,"no","no","no",10,13.6000003814697,0,30,23.75,0,30,NA,11.1111111111111,120.108308513906,32,18.2,2.2,0.44,260.155287643771,59.093357814024,11.8186715628048,30.4453663921564,15.6,6.5,85.7142857142857,5.148,0.549848942598187,0.754980936349044,0.871508379888268,0.9546818775658,54.029931723666,8.375,992.799995422363,-0.974025820906061,-0.256592179158739,0.0761963104421116,32,9,1077.82107605464,0.410774235031153,0.384758706266776,41.007597266081,0,1,0,2,3,1,2,0,0,0,2.71113732620986,10,NA,NA,41.007597266081,NA,NA,0.410774235031153,NA,NA,1077.82107605464,NA,NA,9,NA,NA,1,23.1333333333333,23.1333333333333,NA,NA,24.1065689526043,24.1065689526043,NA,NA,16.3405217660317,16.3405217660317,NA,NA,17.9,33.1,70.6362612364484,54.0785498489426,1014.49008483521,17.0166330278687,31.6715227625837,41.4874370873318,0.01805,1.75100308217146
"ZUS","603_6_1990","603_6_249_1990",603,1990,"603_6","603_6_249",6,5,"no","no","no",10,33,0,35,16.6000003814697,0,30,3.5,9.52380952380952,146.433946910446,27,15.3,3.9,0.78,183.853856069709,81.7835107545763,16.3567021509153,32.9110179597238,14.1283107840664,NA,92.3419005494536,4.66234255874191,0.558394160583942,0.766199493832967,0.829698028062605,0.925373797927674,47.5506609946096,8.91666666666667,899.500003814697,-0.52219494751386,-0.837657176035591,-0.466150137337996,27,10.9187074972756,1390.14107185795,0.341948145923373,0.313270339113782,41.390630649683,0,0,1.55981535675366,3.11963071350732,6.23926142701463,0,0,0,0,0,4.25042508335853,10,NA,NA,41.390630649683,NA,NA,0.341948145923373,NA,NA,1390.14107185795,NA,NA,10.9187074972756,NA,NA,1.55981535675366,19.6285714285714,19.6285714285714,NA,NA,19.9686897774634,19.9686897774634,NA,NA,15.2676797373191,15.2676797373191,NA,NA,17.0282564333157,27.4,77.7829389819752,62.1469212894734,956.463463852552,15.7507189028409,29.31539109067,45.8988472139028,0.0170331836957499,1.96938775733772
"FFB","612_20_1996","612_20_207_1996",612,1996,"612_20","612_20_207",20,4,"no","no","no",10,26.3999996185303,0,30,26.25,0,30,NA,11.1111111111111,179.123137996572,27,16.7,3.1,0.775,219.039693789914,73.7724494879223,18.4431123719806,21.3424795053323,12.774246117698,NA,76.4924917227425,4.21550121884034,0.695833333333333,1.23767750622272,0.946240453162815,1.17833646954391,48.9692308352544,7.33333333333333,848.800001144409,0.264812811894308,0.217543122298728,-0.685122459536052,27,20.7417179167769,5823.68398667636,0.296587300525564,0.264135446660081,61.8125351126761,0,8.88930767861869,2.96310255953956,7.40775639884891,1.48155127976978,0,0,0,0,0,4.50367694643647,10,NA,NA,61.8125351126761,NA,NA,0.296587300525564,NA,NA,5823.68398667636,NA,NA,20.7417179167769,NA,NA,1.48155127976978,12.5,12.5,NA,NA,13.4930140654869,13.4930140654869,NA,NA,10.8409155176555,10.8409155176555,NA,NA,13.5,24,86.7273241412442,56.25,2087.02166486622,9.70660442707867,18.0660264904427,38.7918030766058,0.00866707498665322,1.44669628402306
"EUR","605_3_1992","605_3_42_1992",605,1992,"605_3","605_3_42",3,10,"yes","no","yes",10,21.7999992370605,0,30,7.5,0,30,NA,11.1111111111111,110.013767774263,39,12,1.1,0.11,113.097335529233,19.7841797359817,1.97841797359817,34.4657934106492,16.3,NA,135.833333333333,5.379,0.344827586206897,0.446731447768289,0.758139534883721,0.792223572296476,57.3350644792829,9.25,1103.6999912262,-1.16283240179148,-1.25076031480139,-1.54917887159904,39,8,567.505568165115,0.453366377432197,0.442056643879273,30.0229632864021,0,0,1,0,2,3,2,0,0,0,4.85321274604288,10,NA,NA,30.0229632864021,NA,NA,0.453366377432197,NA,NA,567.505568165115,NA,NA,8,NA,NA,1,26.075,26.075,NA,NA,26.861775816204,26.861775816204,NA,NA,20.575,20.575,NA,NA,21.5,34.8,78.9069990412272,61.7816091954023,639.555336495369,19.5243451540162,36.3389009422279,40.8728180557549,0.01966,1.2821144613514
